id,incident_number,incident_code,name,status,category,acres,containment_percent,county,field_unit,region,protecting_unit,resources_assigned,discovery_time,status_updated_time,latitude,longitude,is_obscured
bc7c0ed0-8c19-4633-9796-34acbc4bc0e8,260100443,2026-FLFLS-260100443,Garcon Point Marsh (57),Contained,Wildfire,75.0,100,Santa Rosa,Blackwater,Region 1,FLFLS - Florida Forest Service,0,2026-09-22T21:56:00,2026-09-23T18:41:35,30.46988296508789,-87.08293914794922,False
64407df2-acc0-40d4-b134-e6e334c6e6ee,260800799,2026-FLFLS-260800799,SR 27 (38),Active,Wildfire,6.0,80,Levy,Waccasassa,Region 2,FLFLS - Florida Forest Service,0,2026-09-20T00:02:00,2026-09-20T01:42:00,29.472444534301758,-82.68094635009766,False
eb66cab5-23c9-4717-ab8d-96cd72174471,261200594,2026-FLFLS-261200594,Road #22 (64),Contained,Wildfire,12.0,100,Volusia,Orlando,Region 3,FLFLS - Florida Forest Service,0,2026-09-14T18:08:57,2026-09-15T18:34:03,29.162221908569336,-81.45333099365234,False
